,Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),Volume
91,2015-05-18,8284.95,8384.6,8271.95,8373.65,153340463,7459.18,153340463.0
92,2015-05-19,8356.2,8427.8,8335.0,8365.65,144642344,7266.52,144642344.0
93,2015-05-20,8392.65,8440.35,8391.45,8423.25,127388797,6151.44,127388797.0
94,2015-05-21,8434.5,8446.35,8382.5,8421.0,148189485,7641.6,148189485.0
95,2015-05-22,8432.5,8489.55,8420.6,8458.95,193080657,8261.69,193080657.0
96,2015-05-25,8438.15,8441.95,8364.15,8370.25,125051166,5555.29,125051166.0
97,2015-05-26,8377.1,8378.9,8320.05,8339.35,120428892,5908.3,120428892.0
98,2015-05-27,8302.75,8342.85,8277.95,8334.6,170583401,8131.59,170583401.0
99,2015-05-28,8345.7,8364.5,8270.15,8319.0,239549060,11449.91,239549060.0
100,2015-05-29,8327.1,8443.9,8305.7,8433.65,375232198,20736.2,375232198.0
101,2015-06-01,8417.25,8467.15,8405.4,8433.4,125990614,7254.01,125990614.0
102,2015-06-02,8442.8,8445.35,8226.05,8236.45,151337661,8083.17,151337661.0
103,2015-06-03,8232.45,8236.7,8094.15,8135.1,176661646,7920.26,176661646.0
104,2015-06-04,8155.15,8160.05,8056.75,8130.65,159470840,7560.49,159470840.0
105,2015-06-05,8119.15,8191.0,8100.15,8114.7,167055308,7588.4,167055308.0
106,2015-06-08,8124.35,8131.0,8030.55,8044.15,140075743,6230.61,140075743.0
107,2015-06-09,8026.5,8057.15,8005.15,8022.4,140217686,6442.05,140217686.0
108,2015-06-10,8024.15,8152.25,8023.8,8124.45,141030200,6790.27,141030200.0
109,2015-06-11,8157.3,8163.05,7958.25,7965.35,171348959,7868.44,171348959.0
110,2015-06-12,7959.85,7995.6,7940.3,7982.9,140839875,6737.25,140839875.0
111,2015-06-15,7986.6,8057.7,7944.85,8013.9,137116389,6129.12,137116389.0
112,2015-06-16,8004.2,8061.85,7952.35,8047.3,127809460,5923.8,127809460.0
113,2015-06-17,8084.2,8136.85,8048.95,8091.55,157205716,7878.66,157205716.0
114,2015-06-18,8113.7,8186.9,8101.8,8174.6,149266110,7767.77,149266110.0
115,2015-06-19,8201.15,8250.8,8195.65,8224.95,151575997,7722.05,151575997.0
116,2015-06-22,8259.3,8369.45,8257.4,8353.1,126542473,6163.02,126542473.0
117,2015-06-23,8377.45,8398.45,8334.95,8381.55,135844708,6437.33,135844708.0
118,2015-06-24,8399.4,8421.35,8338.9,8360.85,134062733,7175.22,134062733.0
119,2015-06-25,8336.25,8423.15,8329.5,8398.0,207421340,9911.16,207421340.0
120,2015-06-26,8393.95,8408.55,8339.7,8381.1,113959476,5848.78,113959476.0
121,2015-06-29,8247.05,8329.45,8195.65,8318.4,136106699,6604.12,136106699.0
122,2015-06-30,8316.35,8378.0,8298.95,8368.5,163366250,8425.52,163366250.0
123,2015-07-01,8376.25,8481.6,8370.15,8453.05,135887471,6938.05,135887471.0
124,2015-07-02,8471.95,8479.25,8433.2,8444.9,115472141,6065.26,115472141.0
125,2015-07-03,8440.1,8497.75,8424.15,8484.9,91142979,4983.21,91142979.0
126,2015-07-06,8386.15,8533.15,8386.15,8522.15,104578132,5517.86,104578132.0
127,2015-07-07,8525.5,8561.35,8483.85,8510.8,126038231,6054.41,126038231.0
128,2015-07-08,8439.2,8457.5,8341.4,8363.05,193886999,8876.81,193886999.0
129,2015-07-09,8364.85,8400.3,8323.0,8328.55,135358659,6610.4,135358659.0
130,2015-07-10,8365.7,8377.1,8315.4,8360.55,158883926,8128.47,158883926.0
131,2015-07-13,8397.25,8471.65,8355.4,8459.65,121380175,6506.28,121380175.0
132,2015-07-14,8470.6,8480.25,8424.1,8454.1,104893796,5454.41,104893796.0
133,2015-07-15,8463.4,8531.4,8462.95,8523.8,108835522,5805.53,108835522.0
134,2015-07-16,8546.15,8616.1,8542.9,8608.05,119637042,6544.15,119637042.0
135,2015-07-17,8623.65,8642.95,8593.15,8609.85,108190401,5713.13,108190401.0
136,2015-07-20,8623.9,8624.1,8559.0,8603.45,93439295,5107.62,93439295.0
137,2015-07-21,8601.5,8646.75,8517.9,8529.45,169151098,10699.52,169151098.0
138,2015-07-22,8512.25,8643.9,8498.65,8633.5,141018383,7427.34,141018383.0
139,2015-07-23,8643.95,8654.75,8573.8,8589.8,136962516,7747.81,136962516.0
140,2015-07-24,8588.15,8589.15,8513.5,8521.55,131344832,6942.22,131344832.0
141,2015-07-27,8492.1,8492.2,8351.55,8361.0,140828066,7353.09,140828066.0
142,2015-07-28,8371.1,8397.4,8321.75,8337.0,179983810,8403.15,179983810.0
143,2015-07-29,8365.6,8381.5,8338.45,8375.05,145399010,7232.34,145399010.0
144,2015-07-30,8417.0,8458.9,8408.3,8421.8,221939186,10007.3,221939186.0
145,2015-07-31,8456.1,8548.95,8448.0,8532.85,209629301,9522.19,209629301.0
146,2015-08-03,8510.65,8563.95,8508.1,8543.05,161485758,7738.1,161485758.0
147,2015-08-04,8564.1,8565.15,8448.25,8516.9,193226091,9003.82,193226091.0
148,2015-08-05,8547.45,8591.85,8545.85,8567.95,136948290,6434.82,136948290.0
149,2015-08-06,8585.8,8606.3,8551.5,8588.65,139116393,6595.25,139116393.0
150,2015-08-07,8580.8,8595.95,8552.7,8564.6,148073594,6528.28,148073594.0
151,2015-08-10,8577.0,8621.55,8497.8,8525.6,127194886,5780.49,127194886.0
152,2015-08-11,8548.45,8556.25,8441.3,8462.35,159192694,7049.29,159192694.0
153,2015-08-12,8445.7,8446.95,8337.95,8349.45,195904304,8630.35,195904304.0
154,2015-08-13,8384.45,8429.5,8339.75,8355.85,195079107,7840.58,195079107.0
155,2015-08-14,8402.35,8530.1,8381.2,8518.55,160680260,7090.58,160680260.0
156,2015-08-17,8530.5,8530.6,8428.05,8477.3,180083830,6543.01,180083830.0
157,2015-08-18,8505.85,8525.75,8433.6,8466.55,157991554,6501.24,157991554.0
158,2015-08-19,8468.05,8520.45,8425.95,8495.15,134512114,6338.67,134512114.0
159,2015-08-20,8471.05,8501.35,8359.75,8372.75,189841783,9193.19,189841783.0
160,2015-08-21,8305.4,8322.2,8225.05,8299.95,207542070,9606.33,207542070.0
161,2015-08-24,8055.95,8060.05,7769.4,7809.0,322096413,13856.66,322096413.0
162,2015-08-25,7895.4,7925.4,7667.25,7880.7,308255265,13420.76,308255265.0
163,2015-08-26,7865.25,7930.05,7777.1,7791.85,223261362,10207.56,223261362.0
164,2015-08-27,7921.6,7963.6,7862.3,7948.95,314422773,14282.73,314422773.0
165,2015-08-28,8053.7,8091.8,7961.65,8001.95,201572450,8641.87,201572450.0
166,2015-08-31,8009.25,8043.6,7947.95,7971.3,204254629,9547.7,204254629.0
167,2015-09-01,7907.95,7929.1,7746.5,7785.85,190581167,8633.26,190581167.0
168,2015-09-02,7856.65,7862.55,7699.25,7717.0,222003483,9794.29,222003483.0
169,2015-09-03,7774.45,7845.6,7754.05,7823.0,160609681,7060.37,160609681.0
170,2015-09-04,7803.4,7804.9,7626.85,7655.05,199569987,8200.69,199569987.0
171,2015-09-07,7685.85,7705.05,7545.9,7558.8,145763902,5768.15,145763902.0
172,2015-09-08,7587.7,7720.9,7539.5,7688.25,177514609,7380.17,177514609.0
173,2015-09-09,7805.85,7846.05,7764.55,7818.6,214842731,8550.1,214842731.0
174,2015-09-10,7729.05,7819.85,7678.5,7788.1,165313439,6992.42,165313439.0
175,2015-09-11,7833.8,7864.85,7759.9,7789.3,140576943,6014.16,140576943.0
176,2015-09-14,7811.1,7879.95,7761.85,7872.25,126630775,5277.75,126630775.0
177,2015-09-15,7867.35,7880.0,7799.75,7829.1,140722007,6252.35,140722007.0
178,2015-09-16,7886.85,7913.9,7853.3,7899.15,144331414,6650.61,144331414.0
179,2015-09-18,7967.45,8055.0,7955.85,7981.9,249313429,11328.64,249313429.0
180,2015-09-21,7911.5,7987.9,7908.35,7977.1,125628591,5482.45,125628591.0
181,2015-09-22,8014.8,8021.6,7787.75,7812.0,173569429,7887.06,173569429.0
182,2015-09-23,7737.35,7882.9,7723.25,7845.95,151196367,6869.26,151196367.0
183,2015-09-24,7838.4,7894.5,7804.1,7868.5,208766516,9732.18,208766516.0
184,2015-09-28,7892.8,7893.95,7787.95,7795.7,140480206,7120.05,140480206.0
185,2015-09-29,7725.7,7926.55,7691.2,7843.3,248106979,11184.67,248106979.0
186,2015-09-30,7924.25,7957.7,7874.5,7948.9,217187896,9981.56,217187896.0
187,2015-10-01,7992.05,8008.25,7930.65,7950.9,161809883,8896.78,161809883.0
188,2015-10-05,8005.1,8128.9,8005.1,8119.3,188830270,9589.63,188830270.0
189,2015-10-06,8180.45,8180.95,8096.5,8152.9,184037905,8461.64,184037905.0
190,2015-10-07,8146.2,8188.9,8132.9,8177.4,199911165,7894.19,199911165.0
191,2015-10-08,8196.75,8196.75,8105.85,8129.35,177030502,7837.16,177030502.0
192,2015-10-09,8186.35,8232.2,8139.65,8189.7,205859184,7960.62,205859184.0
193,2015-10-12,8231.5,8244.5,8128.2,8143.6,205255913,7604.3,205255913.0
194,2015-10-13,8121.95,8150.25,8088.6,8131.7,150431773,6877.36,150431773.0
195,2015-10-14,8102.4,8139.3,8096.35,8107.9,143158108,6607.21,143158108.0
196,2015-10-15,8134.35,8190.55,8129.8,8179.5,172429864,7625.17,172429864.0
197,2015-10-16,8193.65,8246.4,8147.65,8238.15,161153559,6956.78,161153559.0
198,2015-10-19,8262.55,8283.05,8239.2,8275.05,128300205,6880.43,128300205.0
199,2015-10-20,8280.3,8294.05,8229.2,8261.65,159947752,7661.53,159947752.0
200,2015-10-21,8258.35,8294.4,8217.15,8251.7,149270047,6689.35,149270047.0
201,2015-10-23,8308.25,8328.1,8280.75,8295.45,156664310,7466.28,156664310.0
202,2015-10-26,8333.65,8336.3,8252.05,8260.55,138006303,6799.49,138006303.0
203,2015-10-27,8230.35,8241.95,8217.05,8232.9,161493491,8271.49,161493491.0
204,2015-10-28,8188.9,8209.1,8131.8,8171.2,194708669,9131.44,194708669.0
